File,G652D_40_1500_2xtof_przes500v2.csv,
1563.537500,2.1630E-004,1563.537500,4.5210E-007,1563.537500,7.9870E-006,1563.537500,2.7082E001
1563.620000,2.1630E-004,1563.620000,4.0560E-007,1563.620000,8.0680E-006,1563.620000,2.6810E001
1563.702500,2.1640E-004,1563.702500,3.9500E-007,1563.702500,8.0840E-006,1563.702500,2.6769E001
1563.785000,2.1580E-004,1563.785000,4.3970E-007,1563.785000,7.9950E-006,1563.785000,2.6992E001
1563.867500,2.1680E-004,1563.867500,3.9930E-007,1563.867500,8.0500E-006,1563.867500,2.6932E001
1563.950000,2.1540E-004,1563.950000,3.5590E-007,1563.950000,8.0230E-006,1563.950000,2.6848E001
1564.032500,2.1680E-004,1564.032500,4.1930E-007,1564.032500,8.0010E-006,1564.032500,2.7097E001
1564.115000,2.1580E-004,1564.115000,3.8090E-007,1564.115000,7.9690E-006,1564.115000,2.7080E001
1564.197500,2.1640E-004,1564.197500,2.8740E-007,1564.197500,8.0470E-006,1564.197500,2.6892E001
1564.280000,2.1720E-004,1564.280000,3.4600E-007,1564.280000,8.0640E-006,1564.280000,2.6935E001
1564.362500,2.1640E-004,1564.362500,3.6930E-007,1564.362500,8.0430E-006,1564.362500,2.6905E001
1564.445000,2.1740E-004,1564.445000,3.6960E-007,1564.445000,8.0680E-006,1564.445000,2.6946E001
1564.527500,2.1600E-004,1564.527500,3.7230E-007,1564.527500,8.0600E-006,1564.527500,2.6799E001
1564.610000,2.1760E-004,1564.610000,3.7210E-007,1564.610000,8.1100E-006,1564.610000,2.6831E001
1564.692500,2.1640E-004,1564.692500,3.1050E-007,1564.692500,8.1710E-006,1564.692500,2.6484E001
1564.775000,2.1660E-004,1564.775000,2.9860E-007,1564.775000,8.0900E-006,1564.775000,2.6774E001
1564.857500,2.1700E-004,1564.857500,3.3310E-007,1564.857500,8.0760E-006,1564.857500,2.6870E001
1564.940000,2.1660E-004,1564.940000,3.9440E-007,1564.940000,8.1060E-006,1564.940000,2.6721E001
1565.022500,2.1640E-004,1565.022500,3.8470E-007,1565.022500,8.2130E-006,1565.022500,2.6348E001
1565.105000,2.1600E-004,1565.105000,2.6940E-007,1565.105000,8.1490E-006,1565.105000,2.6506E001
1565.187500,2.1690E-004,1565.187500,3.0140E-007,1565.187500,8.1570E-006,1565.187500,2.6591E001
1565.270000,2.1540E-004,1565.270000,2.6780E-007,1565.270000,8.0760E-006,1565.270000,2.6672E001
1565.352500,2.1630E-004,1565.352500,2.8040E-007,1565.352500,8.1570E-006,1565.352500,2.6517E001
1565.435000,2.1660E-004,1565.435000,3.7600E-007,1565.435000,8.1660E-006,1565.435000,2.6525E001
1565.517500,2.1600E-004,1565.517500,3.4020E-007,1565.517500,8.1350E-006,1565.517500,2.6552E001
1565.600000,2.1620E-004,1565.600000,2.7850E-007,1565.600000,8.1760E-006,1565.600000,2.6443E001
1565.682500,2.1630E-004,1565.682500,4.1330E-007,1565.682500,8.2430E-006,1565.682500,2.6240E001
1565.765000,2.1670E-004,1565.765000,3.1200E-007,1565.765000,8.1680E-006,1565.765000,2.6530E001
1565.847500,2.1480E-004,1565.847500,3.5720E-007,1565.847500,8.1130E-006,1565.847500,2.6476E001
1565.930000,2.1690E-004,1565.930000,2.9800E-007,1565.930000,8.1030E-006,1565.930000,2.6768E001
1566.012500,2.1550E-004,1566.012500,3.1110E-007,1566.012500,8.2390E-006,1566.012500,2.6156E001
1566.095000,2.1520E-004,1566.095000,2.8190E-007,1566.095000,8.1700E-006,1566.095000,2.6340E001
1566.177500,2.1580E-004,1566.177500,3.1700E-007,1566.177500,8.1120E-006,1566.177500,2.6603E001
1566.260000,2.1510E-004,1566.260000,2.5630E-007,1566.260000,8.1200E-006,1566.260000,2.6490E001
1566.342500,2.1520E-004,1566.342500,3.1080E-007,1566.342500,8.2150E-006,1566.342500,2.6196E001
1566.425000,2.1470E-004,1566.425000,2.9610E-007,1566.425000,8.0950E-006,1566.425000,2.6523E001
1566.507500,2.1660E-004,1566.507500,3.0620E-007,1566.507500,8.2900E-006,1566.507500,2.6128E001
1566.590000,2.1470E-004,1566.590000,2.9920E-007,1566.590000,8.1760E-006,1566.590000,2.6260E001
1566.672500,2.1620E-004,1566.672500,2.7010E-007,1566.672500,8.2650E-006,1566.672500,2.6158E001
1566.755000,2.1650E-004,1566.755000,2.8790E-007,1566.755000,8.2850E-006,1566.755000,2.6132E001
1566.837500,2.1580E-004,1566.837500,2.6900E-007,1566.837500,8.2440E-006,1566.837500,2.6177E001
1566.920000,2.1660E-004,1566.920000,2.9530E-007,1566.920000,8.1860E-006,1566.920000,2.6460E001
1567.002500,2.1600E-004,1567.002500,2.8760E-007,1567.002500,8.2340E-006,1567.002500,2.6233E001
1567.085000,2.1650E-004,1567.085000,2.8910E-007,1567.085000,8.3570E-006,1567.085000,2.5906E001
1567.167500,2.1610E-004,1567.167500,2.9170E-007,1567.167500,8.2890E-006,1567.167500,2.6071E001
1567.250000,2.1680E-004,1567.250000,2.7810E-007,1567.250000,8.3370E-006,1567.250000,2.6005E001
1567.332500,2.1660E-004,1567.332500,2.8070E-007,1567.332500,8.2660E-006,1567.332500,2.6204E001
1567.415000,2.1720E-004,1567.415000,2.6550E-007,1567.415000,8.3180E-006,1567.415000,2.6112E001
1567.497500,2.1600E-004,1567.497500,2.6340E-007,1567.497500,8.2410E-006,1567.497500,2.6210E001
1567.580000,2.1700E-004,1567.580000,3.0420E-007,1567.580000,8.3480E-006,1567.580000,2.5994E001
1567.662500,2.1720E-004,1567.662500,2.6500E-007,1567.662500,8.3400E-006,1567.662500,2.6043E001
1567.745000,2.1580E-004,1567.745000,2.6260E-007,1567.745000,8.2290E-006,1567.745000,2.6224E001
1567.827500,2.1840E-004,1567.827500,2.7120E-007,1567.827500,8.3250E-006,1567.827500,2.6234E001
1567.910000,2.1600E-004,1567.910000,2.4120E-007,1567.910000,8.2890E-006,1567.910000,2.6059E001
1567.992500,2.1780E-004,1567.992500,2.5440E-007,1567.992500,8.4050E-006,1567.992500,2.5913E001
1568.075000,2.1760E-004,1568.075000,2.3250E-007,1568.075000,8.4700E-006,1568.075000,2.5691E001
1568.157500,2.1730E-004,1568.157500,2.5710E-007,1568.157500,8.3560E-006,1568.157500,2.6005E001
1568.240000,2.1770E-004,1568.240000,3.0380E-007,1568.240000,8.3870E-006,1568.240000,2.5957E001
1568.322500,2.1810E-004,1568.322500,2.5530E-007,1568.322500,8.3520E-006,1568.322500,2.6114E001
1568.405000,2.1830E-004,1568.405000,2.7300E-007,1568.405000,8.4230E-006,1568.405000,2.5917E001
1568.487500,2.1710E-004,1568.487500,2.5610E-007,1568.487500,8.3560E-006,1568.487500,2.5981E001
1568.570000,2.1810E-004,1568.570000,2.5090E-007,1568.570000,8.2900E-006,1568.570000,2.6309E001
1568.652500,2.1710E-004,1568.652500,2.3990E-007,1568.652500,8.4650E-006,1568.652500,2.5647E001
1568.735000,2.1760E-004,1568.735000,2.7370E-007,1568.735000,8.4130E-006,1568.735000,2.5865E001
1568.817500,2.1640E-004,1568.817500,2.3490E-007,1568.817500,8.3470E-006,1568.817500,2.5925E001
1568.900000,2.1740E-004,1568.900000,2.5260E-007,1568.900000,8.4390E-006,1568.900000,2.5761E001
1568.982500,2.1840E-004,1568.982500,2.5420E-007,1568.982500,8.3030E-006,1568.982500,2.6304E001
1569.065000,2.1580E-004,1569.065000,2.4320E-007,1569.065000,8.3310E-006,1569.065000,2.5903E001
1569.147500,2.1840E-004,1569.147500,2.8360E-007,1569.147500,8.4280E-006,1569.147500,2.5914E001
1569.230000,2.1680E-004,1569.230000,2.3230E-007,1569.230000,8.4420E-006,1569.230000,2.5681E001
1569.312500,2.1640E-004,1569.312500,2.6840E-007,1569.312500,8.3120E-006,1569.312500,2.6035E001
1569.395000,2.1700E-004,1569.395000,2.6520E-007,1569.395000,8.4060E-006,1569.395000,2.5815E001
1569.477500,2.1700E-004,1569.477500,2.5410E-007,1569.477500,8.3760E-006,1569.477500,2.5907E001
1569.560000,2.1700E-004,1569.560000,2.8670E-007,1569.560000,8.3560E-006,1569.560000,2.5969E001
1569.642500,2.1600E-004,1569.642500,2.7700E-007,1569.642500,8.3420E-006,1569.642500,2.5893E001
1569.725000,2.1740E-004,1569.725000,2.3400E-007,1569.725000,8.4630E-006,1569.725000,2.5688E001
1569.807500,2.1500E-004,1569.807500,2.2950E-007,1569.807500,8.3160E-006,1569.807500,2.5854E001
1569.890000,2.1640E-004,1569.890000,2.7160E-007,1569.890000,8.2880E-006,1569.890000,2.6110E001
1569.972500,2.1600E-004,1569.972500,2.5770E-007,1569.972500,8.3650E-006,1569.972500,2.5822E001
1570.055000,2.1600E-004,1570.055000,2.7870E-007,1570.055000,8.3330E-006,1570.055000,2.5921E001
1570.137500,2.1660E-004,1570.137500,2.6190E-007,1570.137500,8.4200E-006,1570.137500,2.5724E001
1570.220000,2.1560E-004,1570.220000,2.4560E-007,1570.220000,8.3310E-006,1570.220000,2.5879E001
1570.302500,2.1690E-004,1570.302500,3.1700E-007,1570.302500,8.4140E-006,1570.302500,2.5778E001
1570.385000,2.1460E-004,1570.385000,2.5530E-007,1570.385000,8.4300E-006,1570.385000,2.5457E001
1570.467500,2.1690E-004,1570.467500,2.7210E-007,1570.467500,8.4610E-006,1570.467500,2.5635E001
1570.550000,2.1650E-004,1570.550000,3.0970E-007,1570.550000,8.3620E-006,1570.550000,2.5891E001
1570.632500,2.1610E-004,1570.632500,2.7270E-007,1570.632500,8.3310E-006,1570.632500,2.5939E001
1570.715000,2.1640E-004,1570.715000,2.9280E-007,1570.715000,8.4050E-006,1570.715000,2.5747E001
1570.797500,2.1660E-004,1570.797500,2.5580E-007,1570.797500,8.4720E-006,1570.797500,2.5567E001
1570.880000,2.1680E-004,1570.880000,2.8860E-007,1570.880000,8.4560E-006,1570.880000,2.5639E001
1570.962500,2.1480E-004,1570.962500,2.5230E-007,1570.962500,8.5020E-006,1570.962500,2.5265E001
1571.045000,2.1780E-004,1571.045000,2.9550E-007,1571.045000,8.4510E-006,1571.045000,2.5772E001
1571.127500,2.1620E-004,1571.127500,2.9740E-007,1571.127500,8.4290E-006,1571.127500,2.5650E001
1571.210000,2.1580E-004,1571.210000,2.9400E-007,1571.210000,8.4260E-006,1571.210000,2.5611E001
1571.292500,2.1640E-004,1571.292500,2.4060E-007,1571.292500,8.4870E-006,1571.292500,2.5498E001
1571.375000,2.1680E-004,1571.375000,2.7160E-007,1571.375000,8.5250E-006,1571.375000,2.5431E001
1571.457500,2.1640E-004,1571.457500,2.8710E-007,1571.457500,8.5910E-006,1571.457500,2.5189E001
1571.540000,2.1580E-004,1571.540000,2.9730E-007,1571.540000,8.4360E-006,1571.540000,2.5581E001
1571.622500,2.1800E-004,1571.622500,3.1810E-007,1571.622500,8.5790E-006,1571.622500,2.5411E001
1571.705000,2.1620E-004,1571.705000,2.5960E-007,1571.705000,8.5040E-006,1571.705000,2.5423E001
1571.787500,2.1740E-004,1571.787500,3.0970E-007,1571.787500,8.4760E-006,1571.787500,2.5649E001
1571.870000,2.1780E-004,1571.870000,3.1050E-007,1571.870000,8.5400E-006,1571.870000,2.5504E001
1571.952500,2.1650E-004,1571.952500,3.2450E-007,1571.952500,8.5190E-006,1571.952500,2.5414E001
1572.035000,2.1730E-004,1572.035000,3.0700E-007,1572.035000,8.5170E-006,1572.035000,2.5514E001
1572.117500,2.1670E-004,1572.117500,3.1200E-007,1572.117500,8.4850E-006,1572.117500,2.5539E001
1572.200000,2.1810E-004,1572.200000,3.0810E-007,1572.200000,8.5030E-006,1572.200000,2.5650E001
1572.282500,2.1590E-004,1572.282500,2.8260E-007,1572.282500,8.5070E-006,1572.282500,2.5379E001
1572.365000,2.1830E-004,1572.365000,3.5830E-007,1572.365000,8.5210E-006,1572.365000,2.5619E001
1572.447500,2.1690E-004,1572.447500,2.7870E-007,1572.447500,8.5020E-006,1572.447500,2.5512E001
1572.530000,2.1730E-004,1572.530000,3.8300E-007,1572.530000,8.6080E-006,1572.530000,2.5244E001
1572.612500,2.1790E-004,1572.612500,3.1140E-007,1572.612500,8.4940E-006,1572.612500,2.5653E001
1572.695000,2.1690E-004,1572.695000,3.1620E-007,1572.695000,8.4920E-006,1572.695000,2.5542E001
1572.777500,2.1910E-004,1572.777500,3.7660E-007,1572.777500,8.6430E-006,1572.777500,2.5350E001
1572.860000,2.1630E-004,1572.860000,2.7790E-007,1572.860000,8.4480E-006,1572.860000,2.5604E001
1572.942500,2.1870E-004,1572.942500,3.4830E-007,1572.942500,8.5620E-006,1572.942500,2.5543E001
1573.025000,2.1710E-004,1573.025000,3.4910E-007,1573.025000,8.5160E-006,1573.025000,2.5493E001
1573.107500,2.1710E-004,1573.107500,3.1260E-007,1573.107500,8.5420E-006,1573.107500,2.5416E001
1573.190000,2.1750E-004,1573.190000,3.6550E-007,1573.190000,8.5320E-006,1573.190000,2.5492E001
1573.272500,2.1670E-004,1573.272500,4.3540E-007,1573.272500,8.5220E-006,1573.272500,2.5428E001
1573.355000,2.1810E-004,1573.355000,3.9860E-007,1573.355000,8.5880E-006,1573.355000,2.5396E001
1573.437500,2.1550E-004,1573.437500,3.7320E-007,1573.437500,8.5040E-006,1573.437500,2.5341E001
1573.520000,2.1910E-004,1573.520000,3.7580E-007,1573.520000,8.6160E-006,1573.520000,2.5429E001
1573.602500,2.1610E-004,1573.602500,3.7400E-007,1573.602500,8.5220E-006,1573.602500,2.5358E001
1573.685000,2.1710E-004,1573.685000,3.8380E-007,1573.685000,8.5540E-006,1573.685000,2.5380E001
1573.767500,2.1790E-004,1573.767500,3.6820E-007,1573.767500,8.6560E-006,1573.767500,2.5173E001
1573.850000,2.1650E-004,1573.850000,3.3870E-007,1573.850000,8.5080E-006,1573.850000,2.5447E001
1573.932500,2.1770E-004,1573.932500,4.2830E-007,1573.932500,8.5600E-006,1573.932500,2.5432E001
1574.015000,2.1710E-004,1574.015000,4.2870E-007,1574.015000,8.5120E-006,1574.015000,2.5505E001
1574.097500,2.1850E-004,1574.097500,3.5020E-007,1574.097500,8.6420E-006,1574.097500,2.5283E001
1574.180000,2.1610E-004,1574.180000,3.7620E-007,1574.180000,8.5660E-006,1574.180000,2.5228E001
1574.262500,2.1770E-004,1574.262500,4.1990E-007,1574.262500,8.6240E-006,1574.262500,2.5244E001
1574.345000,2.1790E-004,1574.345000,4.0490E-007,1574.345000,8.5180E-006,1574.345000,2.5581E001
1574.427500,2.1610E-004,1574.427500,3.5460E-007,1574.427500,8.5040E-006,1574.427500,2.5412E001
1574.510000,2.1790E-004,1574.510000,4.2610E-007,1574.510000,8.5840E-006,1574.510000,2.5384E001
1574.592500,2.1690E-004,1574.592500,4.2730E-007,1574.592500,8.5540E-006,1574.592500,2.5357E001
1574.675000,2.1730E-004,1574.675000,4.2070E-007,1574.675000,8.5780E-006,1574.675000,2.5332E001
1574.757500,2.1530E-004,1574.757500,3.7120E-007,1574.757500,8.5380E-006,1574.757500,2.5217E001
1574.840000,2.1850E-004,1574.840000,4.3830E-007,1574.840000,8.6740E-006,1574.840000,2.5190E001
1574.922500,2.1650E-004,1574.922500,4.1130E-007,1574.922500,8.5660E-006,1574.922500,2.5274E001
1575.005000,2.1550E-004,1575.005000,5.0420E-007,1575.005000,8.5120E-006,1575.005000,2.5317E001
1575.087500,2.1890E-004,1575.087500,4.5960E-007,1575.087500,8.5680E-006,1575.087500,2.5549E001
1575.170000,2.1530E-004,1575.170000,5.1560E-007,1575.170000,8.5980E-006,1575.170000,2.5041E001
1575.252500,2.1770E-004,1575.252500,4.3010E-007,1575.252500,8.6650E-006,1575.252500,2.5124E001
1575.335000,2.1610E-004,1575.335000,5.1260E-007,1575.335000,8.6320E-006,1575.335000,2.5035E001
1575.417500,2.1730E-004,1575.417500,4.6510E-007,1575.417500,8.6290E-006,1575.417500,2.5183E001
1575.500000,2.1650E-004,1575.500000,5.2090E-007,1575.500000,8.6450E-006,1575.500000,2.5043E001
1575.582500,2.1490E-004,1575.582500,4.5790E-007,1575.582500,8.5050E-006,1575.582500,2.5267E001
1575.665000,2.1750E-004,1575.665000,5.4160E-007,1575.665000,8.6650E-006,1575.665000,2.5101E001
1575.747500,2.1490E-004,1575.747500,4.5310E-007,1575.747500,8.5110E-006,1575.747500,2.5250E001
1575.830000,2.1650E-004,1575.830000,5.4380E-007,1575.830000,8.5210E-006,1575.830000,2.5408E001
1575.912500,2.1490E-004,1575.912500,5.3640E-007,1575.912500,8.5530E-006,1575.912500,2.5126E001
1575.995000,2.1750E-004,1575.995000,4.2460E-007,1575.995000,8.6720E-006,1575.995000,2.5081E001
1576.077500,2.1470E-004,1576.077500,4.8890E-007,1576.077500,8.5250E-006,1576.077500,2.5185E001
1576.160000,2.1570E-004,1576.160000,5.4600E-007,1576.160000,8.6180E-006,1576.160000,2.5029E001
1576.242500,2.1730E-004,1576.242500,5.7070E-007,1576.242500,8.6660E-006,1576.242500,2.5075E001
1576.325000,2.1410E-004,1576.325000,5.7840E-007,1576.325000,8.5820E-006,1576.325000,2.4948E001
1576.407500,2.1710E-004,1576.407500,5.0940E-007,1576.407500,8.5580E-006,1576.407500,2.5368E001
1576.490000,2.1510E-004,1576.490000,6.0010E-007,1576.490000,8.6020E-006,1576.490000,2.5006E001
1576.572500,2.1630E-004,1576.572500,5.4800E-007,1576.572500,8.5900E-006,1576.572500,2.5180E001
1576.655000,2.1630E-004,1576.655000,5.2660E-007,1576.655000,8.5630E-006,1576.655000,2.5260E001
1576.737500,2.1610E-004,1576.737500,5.2380E-007,1576.737500,8.4810E-006,1576.737500,2.5480E001
1576.820000,2.1650E-004,1576.820000,6.2850E-007,1576.820000,8.7090E-006,1576.820000,2.4859E001
1576.902500,2.1490E-004,1576.902500,5.7540E-007,1576.902500,8.5740E-006,1576.902500,2.5064E001
1576.985000,2.1690E-004,1576.985000,5.7960E-007,1576.985000,8.5560E-006,1576.985000,2.5351E001
1577.067500,2.1470E-004,1577.067500,5.8640E-007,1577.067500,8.4900E-006,1577.067500,2.5289E001
1577.150000,2.1690E-004,1577.150000,6.2910E-007,1577.150000,8.5840E-006,1577.150000,2.5268E001
1577.232500,2.1510E-004,1577.232500,6.0110E-007,1577.232500,8.5710E-006,1577.232500,2.5096E001
1577.315000,2.1630E-004,1577.315000,5.4920E-007,1577.315000,8.5330E-006,1577.315000,2.5349E001
1577.397500,2.1670E-004,1577.397500,6.0850E-007,1577.397500,8.6430E-006,1577.397500,2.5072E001
1577.480000,2.1480E-004,1577.480000,6.1920E-007,1577.480000,8.4640E-006,1577.480000,2.5378E001
1577.562500,2.1840E-004,1577.562500,5.8780E-007,1577.562500,8.6900E-006,1577.562500,2.5132E001
1577.645000,2.1520E-004,1577.645000,6.2120E-007,1577.645000,8.5600E-006,1577.645000,2.5140E001
1577.727500,2.1720E-004,1577.727500,6.3020E-007,1577.727500,8.5240E-006,1577.727500,2.5481E001
1577.810000,2.1640E-004,1577.810000,6.2860E-007,1577.810000,8.6020E-006,1577.810000,2.5157E001
1577.892500,2.1720E-004,1577.892500,6.4360E-007,1577.892500,8.4780E-006,1577.892500,2.5619E001
1577.975000,2.1700E-004,1577.975000,6.7130E-007,1577.975000,8.5930E-006,1577.975000,2.5253E001
1578.057500,2.1620E-004,1578.057500,6.2400E-007,1578.057500,8.5290E-006,1578.057500,2.5349E001
1578.140000,2.1800E-004,1578.140000,6.3160E-007,1578.140000,8.5870E-006,1578.140000,2.5387E001
1578.222500,2.1500E-004,1578.222500,5.9810E-007,1578.222500,8.4810E-006,1578.222500,2.5351E001
1578.305000,2.1820E-004,1578.305000,7.1780E-007,1578.305000,8.6220E-006,1578.305000,2.5307E001
1578.387500,2.1600E-004,1578.387500,7.0570E-007,1578.387500,8.5480E-006,1578.387500,2.5269E001
1578.470000,2.1700E-004,1578.470000,7.3620E-007,1578.470000,8.6490E-006,1578.470000,2.5090E001
1578.552500,2.1780E-004,1578.552500,7.2340E-007,1578.552500,8.6360E-006,1578.552500,2.5220E001
1578.635000,2.1560E-004,1578.635000,7.6140E-007,1578.635000,8.5360E-006,1578.635000,2.5258E001
1578.717500,2.1880E-004,1578.717500,7.6360E-007,1578.717500,8.6360E-006,1578.717500,2.5336E001
1578.800000,2.1500E-004,1578.800000,7.7400E-007,1578.800000,8.5170E-006,1578.800000,2.5244E001
1578.882500,2.1800E-004,1578.882500,7.8670E-007,1578.882500,8.6160E-006,1578.882500,2.5302E001
1578.965000,2.1660E-004,1578.965000,7.2440E-007,1578.965000,8.5800E-006,1578.965000,2.5245E001
1579.047500,2.1620E-004,1579.047500,6.6700E-007,1579.047500,8.4910E-006,1579.047500,2.5462E001
1579.130000,2.1680E-004,1579.130000,7.6740E-007,1579.130000,8.5440E-006,1579.130000,2.5375E001
1579.212500,2.1560E-004,1579.212500,7.4110E-007,1579.212500,8.6880E-006,1579.212500,2.4816E001
1579.295000,2.1760E-004,1579.295000,8.1280E-007,1579.295000,8.5900E-006,1579.295000,2.5332E001
1579.377500,2.1380E-004,1579.377500,8.3190E-007,1579.377500,8.3490E-006,1579.377500,2.5608E001
1579.460000,2.1800E-004,1579.460000,7.4200E-007,1579.460000,8.6410E-006,1579.460000,2.5229E001
1579.542500,2.1460E-004,1579.542500,8.5810E-007,1579.542500,8.4610E-006,1579.542500,2.5363E001
1579.625000,2.1540E-004,1579.625000,7.8210E-007,1579.625000,8.4370E-006,1579.625000,2.5530E001
1579.707500,2.1720E-004,1579.707500,8.7720E-007,1579.707500,8.5330E-006,1579.707500,2.5454E001
1579.790000,2.1460E-004,1579.790000,7.7850E-007,1579.790000,8.5070E-006,1579.790000,2.5226E001
1579.872500,2.1700E-004,1579.872500,8.2900E-007,1579.872500,8.4910E-006,1579.872500,2.5556E001
1579.955000,2.1520E-004,1579.955000,8.0920E-007,1579.955000,8.3670E-006,1579.955000,2.5720E001
1580.037500,2.1760E-004,1580.037500,8.7940E-007,1580.037500,8.5870E-006,1580.037500,2.5341E001
1580.120000,2.1560E-004,1580.120000,7.8010E-007,1580.120000,8.4930E-006,1580.120000,2.5386E001
1580.202500,2.1560E-004,1580.202500,8.4770E-007,1580.202500,8.4490E-006,1580.202500,2.5518E001
1580.285000,2.1720E-004,1580.285000,8.4070E-007,1580.285000,8.5350E-006,1580.285000,2.5448E001
1580.367500,2.1480E-004,1580.367500,8.2760E-007,1580.367500,8.4630E-006,1580.367500,2.5381E001
1580.450000,2.1600E-004,1580.450000,9.2910E-007,1580.450000,8.4490E-006,1580.450000,2.5565E001
1580.532500,2.1400E-004,1580.532500,8.9670E-007,1580.532500,8.4100E-006,1580.532500,2.5446E001
1580.615000,2.1760E-004,1580.615000,8.3240E-007,1580.615000,8.5350E-006,1580.615000,2.5495E001
1580.697500,2.1320E-004,1580.697500,9.2740E-007,1580.697500,8.4160E-006,1580.697500,2.5333E001
1580.780000,2.1480E-004,1580.780000,8.8610E-007,1580.780000,8.3700E-006,1580.780000,2.5663E001
1580.862500,2.1660E-004,1580.862500,9.0580E-007,1580.862500,8.5060E-006,1580.862500,2.5464E001
1580.945000,2.1240E-004,1580.945000,9.3680E-007,1580.945000,8.4060E-006,1580.945000,2.5268E001
1581.027500,2.1680E-004,1581.027500,9.3500E-007,1581.027500,8.4840E-006,1581.027500,2.5554E001
1581.110000,2.1360E-004,1581.110000,1.0160E-006,1581.110000,8.3820E-006,1581.110000,2.5483E001
1581.192500,2.1560E-004,1581.192500,1.0020E-006,1581.192500,8.4860E-006,1581.192500,2.5407E001
1581.275000,2.1500E-004,1581.275000,9.8390E-007,1581.275000,8.3680E-006,1581.275000,2.5693E001
1581.357500,2.1440E-004,1581.357500,9.5890E-007,1581.357500,8.3840E-006,1581.357500,2.5573E001
1581.440000,2.1600E-004,1581.440000,1.0300E-006,1581.440000,8.4300E-006,1581.440000,2.5623E001
1581.522500,2.1320E-004,1581.522500,9.8070E-007,1581.522500,8.3680E-006,1581.522500,2.5478E001
1581.605000,2.1580E-004,1581.605000,9.2630E-007,1581.605000,8.4400E-006,1581.605000,2.5569E001
